candidate_id,name,current_role,skills_endorsed
H001,Hired_1,HR Associate,"['Communication', 'Recruitment', 'Excel']"
H002,Hired_2,Marketing Executive,"['Canva', 'Social Media', 'Google Ads']"
H003,Hired_3,Fashion Designer,"['Adobe Illustrator', 'Trend Analysis', 'Fashion Sketching']"
H004,Hired_4,Trainer,"['Communication', 'Presentation', 'Public Speaking']"
H005,Hired_5,Marketing Executive,"['Google Ads', 'SEO', 'Social Media']"
H006,Hired_6,Corporate Sales,"['Sales Strategy', 'CRM', 'B2B Sales']"
H007,Hired_7,Sales Executive,"['MS Excel', 'Negotiation', 'Lead Generation']"
H008,Hired_8,Corporate Sales,"['Client Management', 'CRM', 'B2B Sales']"
H009,Hired_9,Python Developer,"['Flask', 'PostgreSQL', 'Python']"
H010,Hired_10,Marketing Executive,"['Content Writing', 'SEO', 'Canva']"
H011,Hired_11,Corporate Sales,"['Client Management', 'B2B Sales', 'Sales Strategy']"
H012,Hired_12,Business Development,"['Market Research', 'Excel', 'Pitching']"
H013,Hired_13,Fashion Designer,"['Adobe Illustrator', 'Fashion Sketching', 'Trend Analysis']"
H014,Hired_14,Trainer,"['Communication', 'Presentation', 'Public Speaking']"
H015,Hired_15,Business Development,"['Market Research', 'Communication', 'Excel']"
H016,Hired_16,Marketing Executive,"['Google Ads', 'Social Media', 'Content Writing']"
H017,Hired_17,Corporate Sales,"['Client Management', 'Sales Strategy', 'CRM']"
H018,Hired_18,HR Associate,"['Payroll', 'Excel', 'Recruitment']"
H019,Hired_19,Business Development,"['Excel', 'Negotiation', 'Market Research']"
H020,Hired_20,Python Developer,"['PostgreSQL', 'Git', 'Django']"
H021,Hired_21,Marketing Executive,"['Social Media', 'Content Writing', 'SEO']"
H022,Hired_22,HR Associate,"['Communication', 'Payroll', 'Excel']"
H023,Hired_23,Corporate Sales,"['CRM', 'Client Management', 'Sales Strategy']"
H024,Hired_24,Fashion Designer,"['Adobe Illustrator', 'Trend Analysis', 'Creativity']"
