candidate_id,name,applied_role,skills_listed
R001,Candidate_1,Marketing Executive,"['Google Ads', 'Teamwork', 'Social Media', 'Canva', 'Communication']"
R002,Candidate_2,Trainer,"['Teamwork', 'Public Speaking', 'Teaching', 'Communication', 'Communication']"
R003,Candidate_3,HR Associate,"['Recruitment', 'Excel', 'Leadership', 'Payroll', 'Onboarding']"
R004,Candidate_4,Data Analyst,"['Python', 'Leadership', 'SQL', 'Teamwork', 'MS Office']"
R005,Candidate_5,Marketing Executive,"['MS Office', 'Canva', 'Google Ads', 'SEO', 'Content Writing']"
R006,Candidate_6,Marketing Executive,"['SEO', 'Google Ads', 'Leadership', 'Social Media', 'Teamwork']"
R007,Candidate_7,Python Developer,"['Git', 'APIs', 'MS Office', 'Python', 'PostgreSQL']"
R008,Candidate_8,Data Analyst,"['Python', 'Leadership', 'Teamwork', 'SQL', 'Data Visualization']"
R009,Candidate_9,HR Associate,"['Leadership', 'Recruitment', 'Teamwork', 'Payroll', 'MS Office']"
R010,Candidate_10,Corporate Sales,"['MS Office', 'Teamwork', 'Client Management', 'B2B Sales', 'Sales Strategy']"
R011,Candidate_11,Marketing Executive,"['Leadership', 'MS Office', 'Social Media', 'Communication', 'Google Ads']"
R012,Candidate_12,HR Associate,"['Communication', 'Teamwork', 'Excel', 'Recruitment', 'Payroll']"
R013,Candidate_13,Data Analyst,"['Data Visualization', 'Communication', 'Power BI', 'Teamwork', 'SQL']"
R014,Candidate_14,Data Analyst,"['MS Office', 'Excel', 'Data Visualization', 'Communication', 'Python']"
R015,Candidate_15,Fashion Designer,"['Adobe Illustrator', 'MS Office', 'Creativity', 'Leadership', 'Teamwork']"
R016,Candidate_16,Trainer,"['MS Office', 'Leadership', 'Public Speaking', 'Presentation', 'Teamwork']"
R017,Candidate_17,Business Development,"['Teamwork', 'Market Research', 'MS Office', 'Communication', 'Pitching']"
R018,Candidate_18,Corporate Sales,"['Teamwork', 'CRM', 'MS Office', 'Client Management', 'B2B Sales']"
R019,Candidate_19,Trainer,"['MS Office', 'Teaching', 'Communication', 'Presentation', 'Public Speaking']"
R020,Candidate_20,Data Analyst,"['Teamwork', 'Excel', 'Power BI', 'SQL', 'Python']"
R021,Candidate_21,Fashion Designer,"['Communication', 'MS Office', 'Fashion Sketching', 'Teamwork', 'Leadership']"
R022,Candidate_22,Python Developer,"['Communication', 'APIs', 'Flask', 'Python', 'Git']"
R023,Candidate_23,Corporate Sales,"['B2B Sales', 'MS Office', 'Client Management', 'Teamwork', 'Sales Strategy']"
R024,Candidate_24,Sales Executive,"['Lead Generation', 'Teamwork', 'Leadership', 'Negotiation', 'Communication']"
R025,Candidate_25,HR Associate,"['Recruitment', 'MS Office', 'Excel', 'Onboarding', 'Communication']"
R026,Candidate_26,Data Analyst,"['Data Visualization', 'Teamwork', 'SQL', 'Excel', 'MS Office']"
R027,Candidate_27,Python Developer,"['Communication', 'APIs', 'Git', 'MS Office', 'Python']"
R028,Candidate_28,Trainer,"['Presentation', 'Communication', 'Teamwork', 'Public Speaking', 'Communication']"
R029,Candidate_29,Sales Executive,"['Lead Generation', 'Negotiation', 'Salesforce', 'Leadership', 'Teamwork']"
R030,Candidate_30,Fashion Designer,"['Adobe Illustrator', 'Creativity', 'MS Office', 'Trend Analysis', 'Communication']"
R031,Candidate_31,Corporate Sales,"['MS Office', 'Client Management', 'Communication', 'CRM', 'Leadership']"
R032,Candidate_32,HR Associate,"['Excel', 'Teamwork', 'Payroll', 'Recruitment', 'MS Office']"
R033,Candidate_33,Fashion Designer,"['Trend Analysis', 'MS Office', 'Fashion Sketching', 'Communication', 'Leadership']"
R034,Candidate_34,Business Development,"['Teamwork', 'Communication', 'Leadership', 'Negotiation', 'Pitching']"
R035,Candidate_35,Trainer,"['Leadership', 'Communication', 'Presentation', 'MS Office', 'Communication']"
R036,Candidate_36,Data Analyst,"['MS Office', 'Communication', 'Data Visualization', 'Python', 'Leadership']"
R037,Candidate_37,Data Analyst,"['Python', 'Excel', 'Communication', 'Leadership', 'MS Office']"
R038,Candidate_38,Corporate Sales,"['Client Management', 'MS Office', 'Communication', 'Leadership', 'Sales Strategy']"
R039,Candidate_39,Sales Executive,"['Leadership', 'CRM', 'Salesforce', 'Teamwork', 'Lead Generation']"
R040,Candidate_40,Corporate Sales,"['Communication', 'CRM', 'Client Management', 'Teamwork', 'B2B Sales']"
R041,Candidate_41,HR Associate,"['Payroll', 'Leadership', 'MS Office', 'Recruitment', 'Teamwork']"
R042,Candidate_42,Sales Executive,"['Lead Generation', 'CRM', 'MS Excel', 'MS Office', 'Communication']"
R043,Candidate_43,HR Associate,"['Payroll', 'Recruitment', 'MS Office', 'Onboarding', 'Communication']"
R044,Candidate_44,Python Developer,"['MS Office', 'Flask', 'Git', 'PostgreSQL', 'Django']"
R045,Candidate_45,Data Analyst,"['Python', 'Data Visualization', 'Teamwork', 'Power BI', 'Leadership']"
R046,Candidate_46,Business Development,"['Excel', 'Communication', 'Market Research', 'Leadership', 'MS Office']"
R047,Candidate_47,Trainer,"['Leadership', 'Teamwork', 'Communication', 'Teaching', 'Presentation']"
R048,Candidate_48,Business Development,"['Pitching', 'Market Research', 'Teamwork', 'Communication', 'Excel']"
R049,Candidate_49,Corporate Sales,"['Client Management', 'Sales Strategy', 'Communication', 'Leadership', 'B2B Sales']"
R050,Candidate_50,Sales Executive,"['Salesforce', 'Teamwork', 'Negotiation', 'Lead Generation', 'Communication']"
R051,Candidate_51,Data Analyst,"['Excel', 'SQL', 'Communication', 'Data Visualization', 'MS Office']"
R052,Candidate_52,Fashion Designer,"['Leadership', 'Communication', 'Adobe Illustrator', 'Trend Analysis', 'Teamwork']"
R053,Candidate_53,HR Associate,"['Communication', 'Leadership', 'Communication', 'MS Office', 'Recruitment']"
R054,Candidate_54,Fashion Designer,"['MS Office', 'Adobe Illustrator', 'Fashion Sketching', 'Teamwork', 'Trend Analysis']"
R055,Candidate_55,Sales Executive,"['Salesforce', 'CRM', 'MS Office', 'Lead Generation', 'MS Excel']"
R056,Candidate_56,Sales Executive,"['CRM', 'MS Office', 'MS Excel', 'Communication', 'Leadership']"
R057,Candidate_57,Marketing Executive,"['SEO', 'MS Office', 'Social Media', 'Leadership', 'Teamwork']"
R058,Candidate_58,Corporate Sales,"['Communication', 'MS Office', 'Sales Strategy', 'Teamwork', 'Leadership']"
R059,Candidate_59,Marketing Executive,"['MS Office', 'Social Media', 'Leadership', 'Content Writing', 'SEO']"
R060,Candidate_60,Sales Executive,"['MS Excel', 'Lead Generation', 'Communication', 'CRM', 'Salesforce']"
R061,Candidate_61,Fashion Designer,"['Teamwork', 'Trend Analysis', 'Creativity', 'Leadership', 'MS Office']"
R062,Candidate_62,Fashion Designer,"['Teamwork', 'Trend Analysis', 'MS Office', 'Fashion Sketching', 'Adobe Illustrator']"
R063,Candidate_63,Sales Executive,"['Communication', 'CRM', 'Lead Generation', 'Leadership', 'Teamwork']"
R064,Candidate_64,Corporate Sales,"['Client Management', 'Teamwork', 'Communication', 'MS Office', 'CRM']"
R065,Candidate_65,Fashion Designer,"['Communication', 'Adobe Illustrator', 'Leadership', 'Trend Analysis', 'Fashion Sketching']"
R066,Candidate_66,Trainer,"['Public Speaking', 'Teaching', 'Presentation', 'MS Office', 'Communication']"
R067,Candidate_67,Data Analyst,"['Leadership', 'Data Visualization', 'Teamwork', 'Communication', 'Python']"
R068,Candidate_68,Sales Executive,"['Teamwork', 'Leadership', 'CRM', 'Lead Generation', 'MS Office']"
R069,Candidate_69,HR Associate,"['Communication', 'Teamwork', 'Communication', 'Recruitment', 'Payroll']"
R070,Candidate_70,Sales Executive,"['Communication', 'Negotiation', 'Lead Generation', 'Salesforce', 'Teamwork']"
R071,Candidate_71,Sales Executive,"['CRM', 'Communication', 'Salesforce', 'Leadership', 'MS Office']"
R072,Candidate_72,Data Analyst,"['Communication', 'Power BI', 'MS Office', 'Leadership', 'Python']"
R073,Candidate_73,Marketing Executive,"['Teamwork', 'Communication', 'Canva', 'MS Office', 'SEO']"
R074,Candidate_74,Marketing Executive,"['Content Writing', 'Social Media', 'Google Ads', 'MS Office', 'Leadership']"
R075,Candidate_75,Marketing Executive,"['SEO', 'Social Media', 'Teamwork', 'Google Ads', 'MS Office']"
R076,Candidate_76,Business Development,"['MS Office', 'Leadership', 'Market Research', 'Teamwork', 'Excel']"
R077,Candidate_77,Sales Executive,"['Salesforce', 'Communication', 'CRM', 'MS Excel', 'Teamwork']"
R078,Candidate_78,Trainer,"['Communication', 'Teaching', 'Leadership', 'Communication', 'MS Office']"
R079,Candidate_79,Fashion Designer,"['Adobe Illustrator', 'MS Office', 'Communication', 'Trend Analysis', 'Teamwork']"
R080,Candidate_80,Sales Executive,"['Communication', 'Teamwork', 'CRM', 'Leadership', 'Negotiation']"
R081,Candidate_81,HR Associate,"['Payroll', 'Recruitment', 'Onboarding', 'Communication', 'MS Office']"
R082,Candidate_82,Corporate Sales,"['Communication', 'MS Office', 'Leadership', 'CRM', 'Teamwork']"
R083,Candidate_83,Corporate Sales,"['Teamwork', 'B2B Sales', 'CRM', 'Client Management', 'Leadership']"
R084,Candidate_84,Sales Executive,"['Negotiation', 'Teamwork', 'MS Office', 'Salesforce', 'Leadership']"
R085,Candidate_85,Sales Executive,"['Communication', 'Teamwork', 'Salesforce', 'Lead Generation', 'MS Excel']"
R086,Candidate_86,Trainer,"['MS Office', 'Communication', 'Teaching', 'Teamwork', 'Leadership']"
R087,Candidate_87,Python Developer,"['MS Office', 'Python', 'PostgreSQL', 'Flask', 'Teamwork']"
R088,Candidate_88,Business Development,"['Leadership', 'MS Office', 'Pitching', 'Teamwork', 'Communication']"
R089,Candidate_89,Business Development,"['Pitching', 'MS Office', 'Market Research', 'Communication', 'Leadership']"
R090,Candidate_90,Trainer,"['Teamwork', 'Leadership', 'MS Office', 'Public Speaking', 'Presentation']"
R091,Candidate_91,Trainer,"['Public Speaking', 'Teamwork', 'MS Office', 'Leadership', 'Teaching']"
R092,Candidate_92,Marketing Executive,"['Google Ads', 'Teamwork', 'Content Writing', 'SEO', 'Leadership']"
R093,Candidate_93,Trainer,"['Communication', 'Public Speaking', 'MS Office', 'Communication', 'Presentation']"
R094,Candidate_94,Marketing Executive,"['Content Writing', 'Social Media', 'SEO', 'Communication', 'Google Ads']"
R095,Candidate_95,Data Analyst,"['Teamwork', 'Data Visualization', 'Power BI', 'SQL', 'Communication']"
R096,Candidate_96,Python Developer,"['Leadership', 'APIs', 'Django', 'PostgreSQL', 'Teamwork']"
R097,Candidate_97,Marketing Executive,"['Teamwork', 'MS Office', 'Communication', 'Content Writing', 'SEO']"
R098,Candidate_98,HR Associate,"['Communication', 'Leadership', 'MS Office', 'Communication', 'Excel']"
R099,Candidate_99,HR Associate,"['Excel', 'Recruitment', 'Teamwork', 'Communication', 'Onboarding']"
R100,Candidate_100,Business Development,"['Excel', 'Leadership', 'Communication', 'Communication', 'Pitching']"
